# CFs,1
Timestamp [s],x_d,y_d,z_d, x,y,z,qw,qx,qy,qz
1642798172.29,"[-0.34704957953371596, 0.13228386364836958, 1.6100429690088427, 0.9974609743037842, -0.010884184412421012, 0.004344509014482443, -4.94313888749053e-06, -0.6016943581893169, -1.5043297672987386, 0.35833386589412997, -0.42466312795983185, 0.16982847854979655, -2.3941472603903806e-05]","[-0.016557205468416214, 1.038085699081421, 0.9668705463409424, 0.9967904132696686, 0.018777513955328982, 0.008058346841761444, 0.07740374687002335]"
1642798172.54,"[-0.31776013163177125, 0.23894579611704575, 1.6521439126743234, 0.9937065728053751, 0.004929586583598836, -0.021241650404802123, 0.08490373910296858, -0.6015064210181499, -1.4881163426551238, 0.31226664710715857, -0.2236366786585801, 0.09204440239000602, -0.004320413138976492]","[-0.35584747791290283, 0.18208220601081848, 1.5676804780960083, 0.9685232375171559, -0.07587799222954701, 0.018790922546509898, -0.23633063685089775]"
1642798172.61,"[-1.4254763728166275, -2.366218761834946, 2.7537785729538244, 0.874734565653219, -0.2031429931114386, 0.01752692363311554, -0.42517199008395173, -0.1726209610826997, -0.5312223949991827, -0.06530121373838227, -0.00014946680888605623, 0.04093419161783124, 0.02214423950455638]","[-0.3459697961807251, 0.1259918510913849, 1.5750443935394287, 0.9751402546529292, -0.04929860213125236, 0.00914147478488647, -0.2158415275661338]"
1642798172.79,"[-0.5016362062338675, -0.45780531984431116, 1.81761844146724, 0.9852689777172416, 0.03826042510647466, -0.014318311509890436, -0.16089158615191287, -0.4265497646987779, -1.0580702653197174, 0.2228860036733522, 0.040124483556406354, -0.018328648028434952, 0.00826151948267878]","[-0.3364163041114807, 0.12113966047763824, 1.5639028549194336, 0.9800075885450823, 0.041250422583533994, -0.0019937905010811025, -0.19462670379516397]"
1642798172.97,"[-0.5476429560931908, -0.5616307591845715, 1.8558509111710049, 0.9891010517990656, -0.005359032358511424, -0.009485135515231898, -0.14363735424127036, -0.37684300410071153, -0.9236037369065946, 0.18103428733666865, 0.08118795295336054, -0.0351588647504188, 0.007415554305583952]","[-0.33549830317497253, 0.1190362200140953, 1.5474876165390015, 0.9820942569825079, 0.03475336087035307, 0.0016125763539466733, -0.18514986877579323]"
1642798173.18,"[-0.5198528211522203, -0.42756101215409803, 1.840589952732798, 0.9890748547097454, -3.3511136687142465e-05, -0.008874423094752464, -0.14290238359216065, -0.34074695984227066, -0.8308570122809412, 0.14551514342853594, 0.08262646181317063, -0.03732104897172431, 0.007369323114661791]","[-0.3540991544723511, 0.09285969287157059, 1.5560821294784546, 0.9846563434330554, 0.045037087488024354, 0.011343315353273646, -0.1682108060869965]"
1642798173.39,"[-0.5432343892419189, -0.5116336616747342, 1.8418132065929598, 0.9911099016830732, -0.022693406040506348, -0.007356337681104922, -0.12841399348610064, -0.2906964596380608, -0.7004586018352373, 0.12689714918941197, 0.07055386336040775, -0.03152205754951745, 0.00664638067298922]","[-0.3849686086177826, 0.03744637966156006, 1.5921448469161987, 0.9849775758348138, 0.06449986816649703, 0.013278612501337316, -0.15963276781136546]"
1642798173.58,"[-0.5985860995995695, -0.6478810538451751, 1.8524545679243771, 0.9908960254873342, -0.04673415336336086, -0.001733409596335778, -0.12477911053537649, -0.24156421722230384, -0.575512609530391, 0.11310951506436416, 0.0535325623202729, -0.023914937255272037, 0.006457923656807245]","[-0.422052800655365, -0.05057944729924202, 1.6358931064605713, 0.988779756982409, 0.05202178832453951, 0.01038725988571309, -0.1396439420576187]"
1642798173.78,"[-0.6384735026564488, -0.7131363569359215, 1.8610435358966115, 0.9933701868799761, -0.04910811244954587, 0.004111883811224867, -0.10296364579074421, -0.20293291675088732, -0.47877986541895656, 0.09628444473378148, 0.0365533698882822, -0.016212820160703315, 0.005323154315747085]","[-0.4568942189216614, -0.14287987351417542, 1.6782017946243286, 0.9898203412846865, 0.041548340679350156, 0.0105526398613484, -0.13571318711833424]"
1642798174.01,"[-0.6515316473650614, -0.7621836924698949, 1.8737896589893084, 0.9929964521132166, -0.05012463562899777, 0.004487369365468105, -0.10606381935383581, -0.1786397237407609, -0.41176446724941784, 0.0819184830197034, 0.022492490923595565, -0.010342642827747585, 0.005477927410991713]","[-0.5105640888214111, -0.2887374460697174, 1.741750955581665, 0.9910221682151464, 0.027744226119175545, 0.012602112238507532, -0.13017874938071217]"
